word,definition
"constructive-metabolic","of or relating to anabolism"
"dihydroxyphenylalanine","amino acid that is formed in the liver and converted into dopamine in the brain"
"first-come-first-serve","not accepting reservations"
"hundred-and-seventieth","the ordinal number of one hundred seventy in counting order"
"one-hundred-thousandth","one part in a hundred thousand equal parts"
"pentamethylenetetrazol","a drug used as a circulatory and respiratory stimulant"
"polyvinyl-formaldehyde","a polymer of vinyl formaldehyde"
