word,definition
"antiestablishmentarianism","the doctrine of opposition to the social and political establishment"
"hundred-and-seventy-fifth","the ordinal number of one hundred seventy-five in counting order"
"uvulopalatopharyngoplasty","surgical resection of unnecessary palatal and oropharyngeal tissue to open the airway"
