word,definition
"hundred-and-twenty-fifth","the ordinal number of one hundred twenty-five in counting order"
"hundred-and-thirty-fifth","the ordinal number of one hundred thirty-five in counting order"
"laryngotracheobronchitis","inflammation of the larynx and trachea and bronchial passageways"
