word,definition
"anachronistically","in an anachronistic manner"
"alcohol-dependent","addicted to alcohol"
"attention-getting","likely to attract attention"
"attention-getting","seizing the attention"
"antiauthoritarian","opposed to authoritarianism"
"anti-intellectual","smug and ignorant and indifferent or hostile to artistic and cultural values"
"anti-intellectual","a person who is uninterested in intellectual pursuits"
"antiferromagnetic","relating to antiferromagnetism"
"australopithecine","of or belonging to the hominid genus Australopithecus"
"australopithecine","any of several extinct humanlike bipedal primates with relatively small brains of the genus Australopithecus"
"anti-inflammatory","a medicine intended to reduce inflammation"
"alpha-lipoprotein","a lipoprotein that transports cholesterol in the blood"
"brightly-coloured","having a bright color"
"behind-the-scenes","designed and carried out secretly or confidentially"
"brownish-speckled","having brown speckles"
"bed-and-breakfast","an overnight boardinghouse with breakfast"
"beta-adrenoceptor","receptors postulated to exist on nerve cell membranes of the sympathetic nervous system in order to explain the specificity of certain agents that affect only some sympathetic activities (such as vasodilation and increased heart beat)"
"batrachomyomachia","a silly altercation"
"brokenheartedness","intense sorrow caused by loss of a loved one, especially by death"
"cryptographically","in a cryptographic manner"
"contemporaneously","during the same period of time"
"compartmentalized","divided up into compartments or categories"
"compartmentalised","divided up into compartments or categories"
"chestnut-coloured","having the brown color of chestnuts"
"chocolate-colored","having the color of dark chocolate"
"cinnamon-coloured","having the color of cinnamon"
"civil-libertarian","having or showing active concern for protection of civil liberties protected by law"
"counterproductive","tending to hinder the achievement of a goal"
"cardiorespiratory","of or pertaining to or affecting both the heart and the lungs and their functions"
"cross-pollinating","of or relating to or characteristic of cross-pollination"
"cytoarchitectural","of or relating to cytoarchitecture"
"cytoarchitectonic","of or relating to cytoarchitecture"
"Congregationalist","of or pertaining to or characteristic of a Congregational church"
"chromatographical","of or relating to chromatography"
"cross-pollination","stimulating influence among diverse elements"
"cross-pollination","fertilization by transfer of pollen from the anthers of one flower to the stigma of another"
"commercialization","the act of commercializing something"
"commercialisation","the act of commercializing something"
"conceptualization","inventing or contriving an idea or explanation and formulating it mentally"
"conceptualization","an elaborated concept"
"conceptualisation","inventing or contriving an idea or explanation and formulating it mentally"
"conceptualisation","an elaborated concept"
"counterrevolution","a revolution whose aim is to reverse the changes introduced by a previous revolution"
"counterinsurgency","actions taken by a government to defeat insurgency"
"countersubversion","the aspect of counterintelligence designed to detect and prevent subversive activities"
"cat-o'-nine-tails","a whip with nine knotted cords"
"chlortetracycline","a yellow crystalline antibiotic (trade name Aureomycin) used to treat certain bacterial and rickettsial diseases"
"companionableness","suitability to be a companion"
"communicativeness","the trait of being communicative"
"condescendingness","affability to your inferiors and temporary disregard for differences of position or rank"
"conscientiousness","the trait of being painstaking and careful"
"conscientiousness","the quality of being in accord with the dictates of conscience"
"contemplativeness","deep serious thoughtfulness"
"counterfactuality","the quality of being contrary to fact"
"comprehensibility","the quality of comprehensible language or thought"
"cloud-cuckoo-land","an imaginary place where you say people are when they seem optimistically out of touch with reality"
"comprehensiveness","the capacity to understand a broad range of topics"
"comprehensiveness","completeness over a broad scope"
"contradistinction","a distinction drawn on the basis of contrast"
"consubstantiation","the doctrine of the High Anglican Church that after the consecration of the Eucharist the substance of the body and blood of Christ coexists with the substance of the consecrated bread and wine"
"constitutionalism","advocacy of a system of government according to constitutional principles"
"constitutionalism","a constitutional system of government (usually with a written constitution)"
"counterattraction","a rival attraction"
"chromolithography","single- or multi-color lithography"
"cross-examination","(law) close questioning of a hostile witness in a court of law to discredit or throw a new light on the testimony already provided in direct examination"
"compassionateness","a deep awareness of and sympathy for another's suffering"
"constitutionalist","an advocate of constitutional government"
