word,definition
"A","the unit symbol for the ampere, the basic unit of electric current adopted under the Systeme International d'Unites"
"A","short form for adenine, a purine base found in DNA and RNA"
"A","one of the four nucleotides used in building DNA"
"A","any of several fat-soluble vitamins essential for normal vision"
"a","the indefinite article, used to non-specifically identify something"
"a","the 1st letter of the Roman alphabet"
"b","the 2nd letter of the Roman alphabet"
"b","(physics) a unit of nuclear cross section"
"c","in the Roman numeral system, one hundred"
"c","the 3rd letter of the Roman alphabet"
"c","the speed at which light travels in a vacuum"
"d","denoting a quantity consisting of 500 items or units"
"d","the 4th letter of the Roman alphabet"
"e","the 5th letter of the Roman alphabet"
"e","the base of the natural system of logarithms"
"g","the 7th letter of the Roman alphabet"
"g","a unit of force equal to the force exerted by gravity"
"g","a metric unit of weight equal to one thousandth of a kilogram"
"h","the 8th letter of the Roman alphabet"
"h","the constant of proportionality relating the energy of a photon to its frequency"
"i","used of a single unit or thing"
"i","the 9th letter of the Roman alphabet"
"j","the 10th letter of the Roman alphabet"
"k","denoting a quantity consisting of 1,000 items or units"
"k","the 11th letter of the Roman alphabet"
"l","being ten more than forty"
"l","the 12th letter of the Roman alphabet"
"l","a metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions"
"m","denoting a quantity consisting of 1,000 items or units"
"m","the 13th letter of the Roman alphabet"
"m","the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)"
"n","the 14th letter of the Roman alphabet"
"o","the 15th letter of the Roman alphabet"
"p","the 16th letter of the Roman alphabet"
"q","the 17th letter of the Roman alphabet"
"r","the length of a line segment between the center and circumference of a circle or sphere"
"r","the 18th letter of the Roman alphabet"
"s","the 19th letter of the Roman alphabet"
"s","1/60 of a minute"
"u","(chiefly British) of or appropriate to the upper classes especially in language use"
"u","the 21st letter of the Roman alphabet"
"v","signifying the number five"
"v","the 22nd letter of the Roman alphabet"
"w","the 23rd letter of the Roman alphabet"
"x","the Roman numeral for 10"
"x","the 24th letter of the Roman alphabet"
"y","the 25th letter of the Roman alphabet"
"z","the 26th letter of the Roman alphabet"
"&","a typographic mark used to represent 'and'"
"Å","a metric unit of length equal to one ten billionth of a meter"
"#","a typographic symbol for number"
"¶","a paragraph mark"
"№","a typographic symbol, № , used for denoting numbers"
"☞","a typographic symbol used to draw the reader's attention"
