word,definition
"adrenocorticotrophic","stimulating or acting on the adrenal cortex"
"adrenocorticotrophin","a hormone produced by the anterior pituitary gland that stimulates the adrenal cortex"
"antiestablishmentism","the doctrine of opposition to the social and political establishment"
"abetalipoproteinemia","a rare inherited disorder of fat metabolism"
"buckminsterfullerene","a spheroidal fullerene"
"cross-linguistically","by comparing languages"
"counterrevolutionary","marked by opposition or antipathy to revolution"
"counterrevolutionary","relating to or being a counterrevolution"
"counterrevolutionary","a revolutionary whose aim is to reverse the changes introduced by an earlier revolution"
"cortico-hypothalamic","of or relating to the cortex and the hypothalamus"
"compartmentalization","the act of distributing things into classes or categories of the same type"
"compartmentalization","a mild state of dissociation"
"compartmentalisation","the act of distributing things into classes or categories of the same type"
"compartmentalisation","a mild state of dissociation"
"counterdemonstration","a demonstration held in opposition to another demonstration"
"cross-classification","classification according to more than one attribute at the same time"
"counterrevolutionist","a revolutionary whose aim is to reverse the changes introduced by an earlier revolution"
"drunk-and-disorderly","someone arrested on the charge of being drunk and disorderly"
"electrocardiographic","of or relating to an electrocardiograph"
"electroencephalogram","a graphical record of electrical activity of the brain"
"Finno-Ugric-speaking","able to communicate in a Finno-Ugric language"
"fair-maids-of-France","rosette-forming perennial having compact panicles of white flowers"
"fire-on-the-mountain","poinsettia of United States and eastern Mexico"
"good-neighbourliness","a disposition to be friendly and helpful to neighbors"
"gill-over-the-ground","trailing European aromatic plant of the mint family having rounded leaves and small purplish flowers often grown in hanging baskets"
"hail-fellow-well-met","heartily friendly and congenial"
"hundred-and-fiftieth","the ordinal number of one hundred fifty in counting order"
"hundred-and-sixtieth","the ordinal number of one hundred sixty in counting order"
"hundred-and-fortieth","the ordinal number of one hundred forty in counting order"
"histoincompatibility","incompatibility in which one person's tissue cannot be transplanted to another person"
"hyperadrenocorticism","a glandular disorder caused by excessive cortisol"
"hypercholesterolemia","the presence of an abnormal amount of cholesterol in the cells and plasma of the blood"
"hyperlipoproteinemia","any of various disorders of lipoprotein and cholesterol metabolism that result in high levels of lipoprotein and cholesterol in the circulating blood"
"immunohistochemistry","an assay that shows specific antigens in tissues by the use of markers that are either fluorescent dyes or enzymes (such as horseradish peroxidase)"
"internationalization","the act of bringing something under international control"
"internationalisation","the act of bringing something under international control"
"iodochlorhydroxyquin","drug used to treat certain fungal infection (as athlete's foot)"
"indistinguishability","exact sameness"
"incontrovertibleness","the quality of being undeniable and not worth arguing about"
"keratoconjunctivitis","inflammation of the cornea and conjunctiva"
"late-spring-blooming","of plants that bloom during the spring"
"large-capitalization","of stocks of companies with a market capitalization of five billion dollars or more"
"large-capitalisation","of stocks of companies with a market capitalization of five billion dollars or more"
"lipochondrodystrophy","hereditary disease (autosomal recessive) consisting of an error is mucopolysaccharide metabolism"
"mercury-contaminated","contaminated by mercury"
"magnetohydrodynamics","the study of the interaction of magnetic fields and electrically conducting fluids (as plasma or molten metal)"
"noninstitutionalized","not committed to an institution"
"noninstitutionalised","not committed to an institution"
"nephroangiosclerosis","kidney disease that is usually associated with hypertension"
"obsessive-compulsive","characterized by obsessions and compulsions"
"obsessive-compulsive","a person with obsessive-compulsive characteristics"
"oophorosalpingectomy","surgical removal of one or both ovaries and the corresponding Fallopian tubes"
"old-man-of-the-woods","edible mild-tasting mushroom found in coniferous woodlands of eastern North America"
"penicillin-resistant","unaffected by penicillin"
"paleoanthropological","of or concerned with the scientific study of human fossils"
"palatopharyngoplasty","surgical resection of unnecessary palatal and oropharyngeal tissue to open the airway"
"ring-around-the-rosy","a children's game in which the players dance around in a circle and at a given signal all squat"
"shoulder-to-shoulder","side by side and close together"
"surface-assimilative","having capacity or tendency to adsorb or cause to accumulate on a surface"
"Sunday-go-to-meeting","used of clothing"
"semiautobiographical","of or relating to a work that combines autobiography and fiction"
"small-capitalization","of stocks of companies with a market capitalization of less than one billion dollars"
"small-capitalisation","of stocks of companies with a market capitalization of less than one billion dollars"
"snow-on-the-mountain","annual spurge of western United States having showy white-bracted flower clusters and very poisonous milk"
"tarred-and-feathered","smeared with tar and covered with feathers as a punishment"
"twin-propeller-plane","a propeller plane with an engine that drives two propellers in opposite directions (for stability)"
"tetrahydrocannabinol","psychoactive substance present in marijuana"
"three-dimensionality","the property of having three dimensions"
"third-dimensionality","the property of having three dimensions"
"uncharacteristically","in uncharacteristic manner"
