word,definition
"electroencephalographic","of or relating to an electroencephalograph"
"hundred-and-forty-fifth","the ordinal number of one hundred forty-five in counting order"
"hundred-and-fifty-fifth","the ordinal number of one hundred fifty-five in counting order"
"hundred-and-sixty-fifth","the ordinal number of one hundred sixty-five in counting order"
"hypobetalipoproteinemia","a hereditary disorder characterized by low levels of beta-lipoproteins and lipids and cholesterol"
"hydrochlorofluorocarbon","a fluorocarbon that is replacing chlorofluorocarbon as a refrigerant and propellant in aerosol cans"
"knock-down-and-drag-out","extremely violent"
"polytetrafluoroethylene","a material used to coat cooking utensils and in industrial applications where sticking is to be avoided"
