word,definition
"a good voice to beg bacon","said of a person with an unpleasant voice"
"beyond a shadow of a doubt","in a manner or to a degree that could not be doubted"
"breach of the covenant of warranty","a failure of the seller's guarantee of good title"
"breach of trust with fraudulent intent","larceny after trust rather than after unlawful taking"
"characteristic root of a square matrix","(mathematics) any number such that a given square matrix minus that number times the identity matrix has a zero determinant"
"court of assize and nisi prius","the county courts of England (replaced in 1971 by Crown courts)"
"freedom from cruel and unusual punishment","a right guaranteed by the 8th amendment to the US Constitution"
"have a bun in the oven","be pregnant with"
"imaginary part of a complex number","the part of a complex number that has the square root of -1 as a factor"
"keep one's nose to the grindstone","to work doggedly or persistently"
"keep one's shoulder to the wheel","to work doggedly or persistently"
"on the spur of the moment","on impulse"
"oblique vein of the left atrium","a tributary of the coronary sinus"
"posterior vein of the left ventricle","arises near the apex of the heart and empties into the coronary sinus"
"pull the wool over someone's eyes","conceal one's true motives from especially by elaborately feigning good intentions so as to gain an end"
"right to the pursuit of happiness","the right to try to find happiness"
"respiratory distress syndrome of the newborn","an acute lung disease of the newborn (especially the premature newborn)"
"take the bull by the horns","face a difficulty and grapple with it without avoiding it"
