word,definition
"all","quantifier"
"all","to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')"
"all","completely given to or absorbed by"
"any","one or some or every or all without specification"
"any","to any degree or extent"
"ago","in the past"
"ago","gone by"
"aft","at or near or toward the stern of a ship or tail of an airplane"
"aft","situated at or toward the stern or tail of a ship or airplane"
"apt","being of striking appropriateness and pertinence"
"apt","mentally quick and resourceful"
"apt","usually followed by ""to,"" naturally disposed toward"
"apt","at risk of or subject to experiencing something usually unpleasant"
"ain","belonging to or on behalf of a specified person, especially oneself; Scottish variant of ""own"""
"ane","used of a single unit or thing"
"ace","of the highest quality"
"ace","a serve that the receiver is unable to reach"
"ace","one of four playing cards in a deck having a single pip on its face"
"ace","someone who is dazzlingly skilled in any field"
"ace","to score a point by a serving a ball that an opponent fails to touch in tennis or similar games"
"ace","to play a golf hole in one stroke"
"ace","to score an ace against"
"ace","to succeed at easily"
"azo","relating to or containing the azo radical"
"act","something that people do or cause to happen"
"act","a legal document codifying the result of deliberations of a committee or society or legislative body"
"act","a short theatrical performance that is part of a longer program"
"act","a subdivision of a play or opera or ballet"
"act","a manifestation of insincerity"
"act","to behave in a certain manner"
"act","to pretend to have certain qualities or state of mind"
"act","to discharge one's duties"
"act","to play a role or part"
"act","to perform on a stage or theater"
"act","to behave unnaturally or affectedly"
"act","to perform an action"
"act","to have an effect or outcome"
"act","to be suitable for theatrical performance"
"air","travel via aircraft"
"air","a distinctive but intangible quality surrounding a person or thing"
"air","medium for radio and television broadcasting"
"air","a succession of notes forming a distinctive sequence"
"air","the mass of air surrounding the Earth"
"air","the region above the ground"
"air","a slight wind (usually refreshing)"
"air","a mixture of gases (especially oxygen) required for breathing"
"air","once thought to be one of four elements composing the universe (Empedocles)"
"air","to expose to cool or cold air so as to cool or freshen"
"air","to expose to warm or heated air, so as to dry"
"air","to make public"
"air","to broadcast over the airwaves, as in radio or television"
"air","to be broadcasted"
"air","to expose to fresh air"
"ado","a rapid active commotion"
"aid","the work of providing treatment for or attending to someone or something"
"aid","the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose"
"aid","a resource"
"aid","money to support a worthy person or cause"
"aid","to improve the condition of"
"aid","to give help or assistance"
"aim","the goal intended to be attained (and which is believed to be attainable)"
"aim","an anticipated outcome that is intended or that guides your planned actions"
"aim","the direction or path along which something moves or along which it lies"
"aim","to have an ambitious plan or a lofty goal"
"aim","to propose or intend"
"aim","to specifically design a product, event, or activity for a certain public"
"aim","to direct a remark toward an intended goal"
"aim","to intend something to move towards a certain goal"
"aim","to point or cause to go towards"
"aim","the action of directing something at an object"
"ass","hardy and sure-footed animal smaller and with longer ears than the horse"
"ass","the fleshy part of the human body that you sit on"
"ass","a pompous fool"
"art","the creation of beautiful or significant things"
"art","the products of human creativity"
"art","a superior skill that you can learn by study and practice and observation"
"art","photographs or other visual representations in a printed publication"
"asp","cobra used by the Pharaohs as a symbol of their power over life and death"
"asp","of southern Europe"
"ani","black tropical American cuckoo"
"auk","black-and-white short-necked web-footed diving bird of northern seas"
"ala","a wing of an insect"
"ala","a flat wing-shaped process or winglike part of an organism"
"ant","social insect living in organized colonies"
"ape","any of various primates with short tails or no tail at all"
