word,definition
"ape","person who resembles a nonhuman primate"
"ape","someone who copies the words or behavior of another"
"ape","to represent in or produce a caricature of"
"ape","to imitate uncritically and in every aspect"
"aba","a fabric woven from goat hair and camel hair"
"aba","a loose sleeveless outer garment made from aba cloth"
"adz","an edge tool used to cut and shape wood"
"alb","a white linen liturgical vestment with sleeves"
"ark","a boat built by Noah to save his family and animals from the flood"
"arm","the part of an armchair or sofa that supports the elbow and forearm of a seated person"
"arm","any projection that is thought to resemble a human arm"
"arm","the part of a garment that is attached at the armhole and that provides a cloth covering for the arm"
"arm","any instrument or instrumentality used in fighting or hunting"
"arm","a human limb"
"arm","a division of some larger or more complex organization"
"arm","to supply with weapons"
"awl","a pointed tool for marking surfaces or for punching small holes"
"axe","an edge tool with a heavy bladed head mounted across a handle"
"axe","to terminate"
"axe","to chop or split with an ax"
"ATM","an unattended machine that dispenses money when a personal coded card is used"
"atm","a distinctive but intangible quality surrounding a person or thing"
"atm","the mass of air surrounding the Earth"
"atm","the envelope of gases surrounding any celestial body"
"atm","a unit of pressure: the pressure that will support a column of mercury 760 mm high at sea level and 0 degrees centigrade"
"atm","the weather or climate at some place"
"atm","a particular environment or surrounding influence"
"age","how long something has existed"
"age","a time of life, usually defined in years, at which some particular qualification or power arises"
"age","a late time of life"
"age","a prolonged period of time"
"age","an era of history having some distinctive feature"
"age","to grow old or older"
"age","to begin to seem older"
"age","to make older"
"ABC","the elementary stages of any subject (usually plural)"
"Aga","title for a civil or military leader (especially in Turkey)"
"ASL","the sign language used in the United States"
"awe","an overwhelming feeling of wonder or admiration"
"awe","a feeling of profound respect for someone or something"
"awe","to inspire awe in"
"ail","aromatic bulb used as seasoning"
"ail","to cause bodily suffering to and make sick or indisposed"
"ail","to be ill or unwell"
"ale","a general name for beer made with a top fermenting yeast"
"ade","a sweetened beverage of diluted fruit juice"
"ana","a collection of anecdotes about a person or place"
"alp","any high mountain"
"arb","someone who engages in arbitrage (who purchases securities in one market for immediate resale in another in the hope of profiting from the price differential)"
"arc","electrical conduction through a gas in an applied electric field"
"arc","a continuous portion of a circle"
"arc","something curved in shape"
"arc","to an arch or curve"
"ash","any of various deciduous pinnate-leaved ornamental or timber trees of the genus Fraxinus"
"ash","strong elastic wood of any of various ash trees"
"ash","the residue that remains when something is burned"
"ash","to convert into ashes"
"awn","slender bristlelike appendage found on the bracts of grasses"
"are","a unit of surface area equal to 100 square meters"
"amp","the basic unit of electric current adopted under the Systeme International d'Unites"
"avo","100 avos equal 1 pataca in Macao"
"ADD","a condition (mostly in boys) characterized by behavioral and learning disorders"
"add","to make an addition to"
"add","to make an addition by combining numbers"
"add","to determine the sum of"
"add","to state or say further"
"add","to constitute an addition"
"ask","to address a question to and expect an answer from"
"ask","to inquire or ask for as a price or condition"
"ask","to require as useful, just, or proper"
"ask","to make a request or demand for something to somebody"
"ask","to inquire about"
"aah","to express admiration and pleasure by uttering 'ooh' or 'aah'"
"aby","to make amends for"
"BCE","of the period before the Common Era"
"bad","very much"
"bad","with great intensity (`bad' is a nonstandard variant for `badly')"
"bad","feeling physical discomfort or pain (`tough' is occasionally used colloquially for `bad')"
"bad","not in an edible or usable condition, in referring to foodstuffs"
"bad","not working properly"
"bad","reproduced fraudulently"
"bad","having undesirable or negative qualities"
"bad","characterized by wickedness or immorality"
"bad","feeling or expressing regret or sorrow or a sense of loss over something done or undone"
"bad","capable of harming"
"bad","physically unsound or diseased"
"bad","very intense"
"bad","not financially safe or secure"
"bad","nonstandard"
"bad","below average in quality or performance"
"bad","not capable of being collected"
"bad","that which is below standard or expectations as of ethics or decency"
"but","and nothing more"
"big","prodigious"
"big","in a boastful manner"
"big","in a major way"
"big","on a grand scale"
"big","extremely well"
"big","conspicuous in position or importance"
"big","given or giving freely"
"big","generous and understanding and tolerant"
"big","marked by intense physical force"
"big","significant"
"big","above average in size or number or quantity or magnitude or extent"
"big","loud and firm"
"big","(of animals) fully developed"
"big","very intense"
"big","feeling self-importance"
"big","exhibiting self-importance"
"big","in an advanced stage of pregnancy"
"bay","used of animals especially a horse, of a moderate reddish-brown color"
"bay","a horse of a moderate reddish-brown color"
"bay","a small recess opening off a larger room"
"bay","a compartment in an aircraft used for some specific purpose"
"bay","a compartment on a ship between decks"
"bay","the sound of a hound on the scent"
"bay","an indentation of a shoreline larger than a cove but smaller than a gulf"
"bay","small Mediterranean evergreen tree with small blackish berries and glossy aromatic leaves used for flavoring in cooking"
"bay","to bark with prolonged noises, of dogs"
"bay","to utter in deep prolonged tones"
"bum","of very poor quality"
"bum","the fleshy part of the human body that you sit on"
"bum","person who does no work"
"bum","a person who is deemed to be despicable or contemptible"
"bum","a disreputable vagrant"
"bum","to ask for and get free"
"bum","to be lazy or idle"
"box","to put into a box"
"box","a blow with the hand, usually on the ear"
"box","a (usually rectangular) container"
"box","separate partitioned area in a public place for a few people"
"box","private area in a theater or grandstand where a small group can watch the performance"
"box","the driver's seat on a coach"
"box","any one of several designated areas on a ball field where the batter or catcher or coaches are positioned"
"box","evergreen shrubs or small trees"
"box","the quantity contained in a box"
"box","a rectangular drawing"
"box","a predicament from which a skillful or graceful escape is impossible"
"box","to engage in a boxing match"
"box","to hit with the fist"
"bob","a short abrupt inclination, usually of the head"
"bob","a short or shortened tail of certain animals"
"bob","a small float usually made of cork"
"bob","a hanging weight, especially a metal ball on a string"
"bob","a long racing sled (for 2 or more people) with a steering mechanism"
"bob","a hair style for women and children"
"bob","a former monetary unit in Great Britain"
"bob","to cut hair in the style of a bob"
"bob","to make a curtsy"
"bob","to remove or shorten the tail of an animal"
"bob","to move up and down repeatedly"
"bob","to ride a bobsled"
"bat","in baseball, a turn trying to get a hit"
"bat","nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate"
"bat","a club used for hitting a ball in various games"
"bat","the club used in playing cricket"
"bat","a small racket with a long handle used for playing squash"
"bat","to wink briefly"
"bat","to strike with, or as if with a baseball bat"
"bat","to use a bat"
"bat","to have a turn at bat"
"bag","an activity that you like or at which you are superior"
"bag","mammary gland of bovids (cows and sheep and goats)"
"bag","a flexible container with a single opening"
"bag","a portable rectangular container for carrying clothes"
"bag","a container used for carrying money and small personal items or accessories"
"bag","a place that the runner must touch before scoring"
"bag","an ugly or ill-tempered woman"
"bag","the quantity of game taken in a particular period, usually by one person"
"bag","a container typically constructed with a flexible material, often open on top"
"bag","to capture or kill, as in hunting"
"bag","to put into a bag"
"bag","to take unlawfully"
"bag","to swell or bulge out"
"bag","to hang loosely, like an empty bag"
"bet","the act of gambling"
"bet","the money risked on a gamble"
"bet","to have faith or confidence in"
"bet","to maintain with or as if with a bet"
"bet","to stake on the outcome of an issue"
"bow","a stroke with a curved piece of wood with taut horsehair strands that is used in playing stringed instruments"
"bow","a slightly curved piece of resilient wood with taut horsehair strands"
"bow","a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow"
"bow","front part of a vessel or aircraft"
"bow","a knot with two loops and loose ends"
"bow","a decorative interlacing of ribbons"
"bow","an appearance by actors or performers at the end of the concert or play in order to acknowledge the applause of the audience"
"bow","bending the head or body or knee as a sign of reverence or submission or shame or greeting"
"bow","something curved in shape"
"bow","to yield to another's wish or opinion"
"bow","to bend one's knee or body, or lower one's head"
"bow","to play on a string instrument with a bow"
"bow","to bend the head or the upper part of the body in a gesture of respect or greeting"
"bow","to bend one's back forward from the waist on down"
"biz","your occupation or line of work"
"bid","an attempt to get something"
"bid","(bridge) the number of tricks a bridge player is willing to contract to make"
"bid","a formal proposal to buy at a specified price"
"bid","an authoritative direction or instruction to do something"
"bid","to ask for or request earnestly"
"bid","to make a serious effort to attain something"
"bid","to propose a payment"
"bid","to make a demand, as for a card or a suit or a show of hands"
"bar","a horizontal rod that serves as a support for gymnasts as they perform exercises"
"bar","a room or establishment where alcoholic drinks are served over a counter"
"bar","a block of solid substance (such as soap or wax)"
"bar","a narrow marking of a different color or texture from the background"
"bar","musical notation for a repeating pattern of musical beats"
"bar","the body of individuals qualified to practice law in a particular jurisdiction"
"bar","a submerged (or partly submerged) ridge in a river or along a shore"
"bar","(meteorology) a unit of pressure equal to a million dynes per square centimeter"
"bar","to prevent from entering"
"bar","to secure with, or as if with, bars"
"bar","to render unsuitable for passage"
"bar","to expel, as if by official decree"
"bar","the act of preventing"
"bar","a rigid piece of metal or wood"
"bar","an obstruction placed at the top of a goal"
"bar","a counter where you can obtain food or drink"
"bar","(law) a railing that encloses the part of the courtroom where the judges and lawyers sit and the case is tried"
"bar","a heating element in an electric fire"
"bug","a minute life form (especially a disease-causing bacterium)"
"bug","general term for any insect or similar creeping or crawling invertebrate"
"bug","insects with sucking mouthparts and forewings thickened and leathery at the base"
"bug","a small hidden microphone"
"bug","a fault or defect in a computer program, system, or machine"
"bug","to annoy persistently"
"bug","to tap a telephone or telegraph wire to get information"
"boa","any of several chiefly tropical constrictors with vestigial hind limbs"
"boa","a long thin fluffy scarf of feathers or fur"
"bee","any of numerous hairy-bodied insects including social and solitary species"
"bee","a social gathering to carry out some communal task or to hold competitions"
"bot","botfly larva"
"bed","a piece of furniture that provides a place to sleep"
"bed","a plot of ground in which plants are growing"
"bed","a foundation of earth or rock supporting a road or railroad track"
"bed","the flat surface of a printing press on which the type form is laid in the last stage of producing a newspaper or magazine or book etc."
"bed","single thickness of usually some homogeneous substance"
"bed","a stratum of ore or coal thick enough to be mined with profit"
"bed","a depression forming the ground under a body of water"
"bed","(geology) a stratum of rock (especially sedimentary rock)"
"bed","to put to bed"
"bed","to place plants in a prepared bed of soil"
"bed","to furnish with a bed"
"bit","the cutting part of a drill"
"bit","piece of metal held in horse's mouth by reins and used to control the horse while riding"
"bit","the part of a key that enters a lock and lifts the tumblers"
"bit","a short theatrical performance that is part of a longer program"
"bit","a small fragment"
"bit","an instance of some kind"
"bit","a small amount of solid food"
"bit","a small fragment of something broken off from the whole"
"bit","a unit of measurement of information (from binary + digit)"
"bit","a small piece or quantity of something"
"bit","an indefinitely short time"
"bin","a container"
"bin","the quantity contained in a bin"
"bin","to store in a container"
"bib","a napkin tied under the chin of a child while eating"
"bib","top part of an apron"
"bib","to drink moderately but regularly"
"bbs","a computer that is running software that allows users to leave messages and access information of general interest"
"bra","an undergarment worn by women to support their breasts"
"bur","small bit used in dentistry or surgery"
"bur","seed vessel having hooks or prickles"
"bur","to remove the burrs from"
"bus","a vehicle carrying many passengers"
"bus","a car that is old and unreliable"
"bus","an electrical conductor that makes a common connection between several circuits"
"bus","the topology of a network whose components are connected by a busbar"
"bus","to remove used dishes from the table in restaurants"
"bus","to ride in a bus"
"bus","to send or move around by bus"
"bpi","a measure of how densely information is packed on a storage medium"
"bod","alternative names for the body of a human being"
"ban","a decree that prohibits something"
"ban","an official prohibition or edict against something"
"ban","100 bani equal 1 leu in Romania"
"ban","100 bani equal 1 leu in Moldova"
"ban","to prohibit especially by legal means or social pressure"
"ban","to forbid the public distribution of media"
"ban","to expel from a community or group"
"ban","to banish from a place of residence, as for punishment"
"bye","a farewell remark"
"bye","advancement to the next round in a tournament without playing an opponent"
"bop","an early form of modern jazz (originating around 1940)"
"bop","to hit hard"
"bop","to dance the bebop"
"boo","a cry or noise made to express displeasure or contempt"
"boo","to show displeasure, as after a performance or speech"
"baa","to cry like a sheep"
"baa","the cry made by sheep"
"bam","a sudden very loud noise"
"bap","a small loaf or roll of soft bread"
"bun","small rounded bread either plain or sweet"
"BLT","sandwich filled with slices of bacon and tomato with lettuce"
"ben","a mountain or tall hill"
"bog","wet spongy ground of decomposing vegetation"
"bog","to get stuck while doing something"
"bog","to cause to slow down or get stuck"
"boy","(ethnic slur) offensive and disparaging term for Black man"
"boy","a friendly informal reference to a grown man"
"boy","a youthful male person"
"boy","a male human offspring"
"bey","the governor of a district or province in the Ottoman Empire"
"bey","(formerly) a title of respect for a man in Turkey or Egypt"
"bud","a partially opened flower"
"bud","a swelling on a plant stem consisting of overlapping immature leaves or petals"
"bud","to start to grow or develop"
"bud","to develop buds"
"buy","an advantageous purchase"
"buy","to accept as true"
"buy","to obtain by purchase"
"buy","to acquire by trade or sacrifice or exchange"
"buy","to make illegal payments to in exchange for favors or influence"
"buy","to be worth or be capable of buying"
"bbl","any of various units of capacity"
"bps","the rate at which data is transferred, as by a modem; stands for bits per second"
"bpm","the pace of music measured by the number of beats occurring in 60 seconds"
"beg","to call upon in supplication"
"beg","to dodge, avoid answering, or take for granted"
"beg","to ask to obtain free"
"bae","a person who you feel affectionate about, often romantically, though not exclusionary; similar in usage to ""sweetie"""
"cf.","compare (used in texts to point the reader to another location in the text)"
"COD","collecting the charges upon delivery"
"con","in opposition to a proposition, opinion, etc."
"con","a swindle in which you cheat at gambling or persuade a person to buy worthless property"
"con","an argument opposed to a proposal"
"con","a person serving a sentence in a jail or prison"
"con","to commit to memory"
"con","to deprive of by deceit"
"cut","with parts removed"
"cut","separated into parts or laid open or penetrated with a sharp edge or instrument"
"cut","(of pages of a book) having the folds of the leaves trimmed or slit"
"cut","fashioned or shaped by cutting"
"cut","mixed with water"
"cut","(used of rates or prices) reduced usually sharply"
"cut","(used of grass or vegetation) cut down with a hand implement or machine"
"cut","a male animal, whose testicles are removed"
"cut","made neat and tidy by trimming"
"cut","an unexcused absence from class"
"cut","the act of reducing the amount or number"
"cut","the act of shortening something by chopping off the ends"
"cut","the act of cutting something into parts"
"cut","the act of penetrating or opening open with a sharp edge"
"cut","the division of a deck of cards before dealing"
"cut","(sports) a stroke that puts reverse spin on the ball"
"cut","in baseball"
"cut","a refusal to recognize someone you know"
"cut","a trench resembling a furrow that was made by erosion or excavation"
"cut","a canal made by erosion or excavation"
"cut","the style in which a garment is cut"
"cut","the omission that is made when an editorial change shortens a written passage"
"cut","a distinct selection of music from a recording or a compact disc"
"cut","(film) an immediate transition from one shot to the next"
"cut","a remark capable of wounding mentally"
"cut","a piece of meat that has been cut from an animal carcass"
"cut","a share of the profits"
"cut","a wound made by cutting"
"cut","a step on some scale"
"cut","to cut off the testicles of male animals such as horses"
"cut","to grow through the gums"
"cut","to have grow through the gums"
"cut","to cut and assemble the components of"
"cut","to lessen the strength or flavor of a solution or mixture"
"cut","to reduce in scope while retaining essential elements"
"cut","to cease, stop"
"cut","to cut down on"
"cut","to have a reducing effect"
"cut","to dissolve by breaking down the fat of"
"cut","to weed out unwanted or unnecessary things"
"cut","to shorten as if by severing the edges or ends of"
"cut","to refuse to acknowledge"
"cut","to make out and issue"
"cut","to penetrate injuriously"
"cut","to fell by sawing"
"cut","to reap or harvest"
"cut","to hit a ball with a spin so that it turns in the opposite direction"
"cut","to cause to stop operating by disengaging a switch"
"cut","to separate with or as if with an instrument"
"cut","to divide a deck of cards at random into two parts to make selection difficult"
"cut","to make an incision or separation"
"cut","to allow incision or separation"
"cut","to function as a cutting instrument"
"cut","to style and tailor in a certain fashion"
"cut","to perform or carry out"
"cut","to form or shape by cutting or incising"
"cut","to form by probing, penetrating, or digging"
"cut","to create by duplicating data"
"cut","to record a performance on a medium"
"cut","to make a recording of"
"cut","to stop filming something"
"cut","to make an abrupt change of image or sound"
"cut","to pass through or across"
"cut","to pass directly and often in haste"
"cut","to turn sharply"
"cut","to move one's fist"
"cut","to give the appearance or impression of"
"cut","to discharge from a group"
"cut","to be able to manage or manage successfully"
"cut","to intentionally fail to attend"
"cod","payable by the recipient on delivery"
"cod","major food fish of Arctic and cold-temperate waters"
"cod","lean white flesh of important North Atlantic food fish"
"cod","the vessel that contains the seeds of a plant (not the seeds themselves)"
"cod","to harass with persistent criticism or carping"
"cod","to fool or hoax"
"coy","modestly or warily rejecting approaches or overtures"
"coy","showing marked and often playful or irritating evasiveness or reluctance to make a definite or committing statement"
"coy","affectedly modest or shy especially in a playful or provocative way"
"cxv","being five more than one hundred ten"
"cxl","being ten more than one hundred thirty"
"clv","being five more than one hundred fifty"
"clx","being ten more than one hundred fifty"
"ccc","being one hundred more than two hundred"
"cub","the young of certain carnivorous mammals such as the bear or wolf or lion"
"cub","a male child (a familiar term of address to a boy)"
"cub","an awkward and inexperienced youth"
"cub","to give birth to cubs"
"cob","adult male swan"
"cob","white gull having a black back and wings"
"cob","stocky short-legged harness horse"
"cob","nut of any of several trees of the genus Corylus"
"cow","mature female of mammals of which the male is called `bull'"
"cow","female of domestic cattle: '`moo-cow' is a child's term'"
"cow","a large unpleasant woman"
"cow","to subdue, restrain, or overcome by affecting with a feeling of awe"
"cur","an inferior dog or one of mixed breed"
"cur","a cowardly and despicable person"
"cat","feline mammal usually having thick soft fur and no ability to roar: domestic cats"
"cat","any of several large cats typically able to roar and living in the wild"
"cat","a large tracked vehicle that is propelled by two endless metal belts"
"cat","a whip with nine knotted cords"
"cat","the leaves of the shrub Catha edulis which are chewed like tobacco or used to make tea"
"cat","a spiteful woman gossip"
"cat","an informal term for a youth or man"
"cat","to eject the contents of the stomach through the mouth"
"cat","to beat with a cat-o'-nine-tails"
"can","airtight sealed metal container for food or drink or paint etc."
"can","a room or building equipped with one or more toilets"
"can","a plumbing fixture for defecation and urination"
"can","the fleshy part of the human body that you sit on"
"can","a buoy with a round bottom and conical top"
"can","the quantity contained in a can"
"can","to preserve in a can or tin"
"can","to terminate the employment of"
"cab","a car driven by a person whose job is to take passengers where they want to go in exchange for money"
"cab","small two-wheeled horse-drawn carriage"
"cab","a compartment at the front of a motor vehicle or locomotive where driver sits"
"cab","to ride in a taxicab"
"cam","a rotating disk shaped to convert circular into linear motion"
"car","a conveyance for passengers or freight on a cable railway"
"car","a motor vehicle with four wheels"
"car","a wheeled vehicle adapted to the rails of railroad"
"car","where passengers ride up and down"
"car","the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant"
"cap","a tight-fitting headdress"
"cap","a top (as for a bottle)"
"cap","something serving as a cover or protection"
"cap","the upper part of a column that supports the entablature"
"cap","in dentistry, dental appliance consisting of an artificial crown for a broken or decayed tooth"
"cap","a mechanical or electrical explosive device or a small amount of explosive"
"cap","an upper limit on what is allowed"
"cap","a protective covering that is part of a plant"
"cap","a fruiting structure resembling an umbrella or a cone that forms the top of a stalked fleshy fungus such as a mushroom"
"cap","to restrict the number or amount of"
"cap","to lie at the top of"
"cog","tooth on the rim of gear wheel"
"cog","a subordinate who performs an important but routine function"
"cog","to join pieces of wood with cogs"
"cog","to roll steel ingots"
"cue","sports implement consisting of a tapering rod used to strike a cue ball in pool or billiards"
"cue","a stimulus that provides information about what to do"
"cue","evidence that helps to solve a problem"
"cue","an actor's line that immediately precedes and serves as a reminder for some action or speech"
"cue","to assist somebody acting or reciting by suggesting the next words of something forgotten or imperfectly learned"
"cot","a small bed that folds up for storage or transport"
"cot","baby bed with high sides made of slats"
"cot","a sheath worn to protect a finger"
"cul","a passage with access only at one end"
"cup","a small open container usually used for drinking"
"cup","a large metal vessel with two handles that is awarded as a trophy to the winner of a competition"
"cup","the hole or metal container in the hole on a golf green"
"cup","a punch served in a pitcher instead of a punch bowl"
"cup","cup-shaped plant organ"
"cup","a United States liquid unit equal to 8 fluid ounces"
"cup","the quantity a cup will hold"
"cup","any cup-shaped concavity"
"cup","to treat by applying evacuated cups to the patient's skin"
"cup","to put into a cup"
"cup","to form into the shape of a cup"
"cum","the thick white fluid containing spermatozoa that is ejaculated by the male genital tract"
"chi","the 22nd letter of the Greek alphabet"
"chi","the circulating life energy that in Chinese philosophy is thought to be inherent in all things"
"cry","a fit of weeping"
"cry","a loud utterance"
"cry","a loud utterance of emotion (especially when inarticulate)"
"cry","a slogan used to rally support for a cause"
"cry","the characteristic utterance of an animal"
"cry","to shed tears because of sadness, rage, or pain"
"cry","to bring into a particular state by crying"
"cry","to utter aloud"
"cry","to utter a sudden loud cry"
"cry","to proclaim or announce in public"
"cry","to utter a characteristic sound"
"cry","to demand immediate action"
"coo","the sound made by a pigeon"
"coo","to cry softly, as of pigeons"
"coo","to speak softly or lovingly"
"caw","the sound made by corvine birds"
"caw","to utter a cry, characteristic of crows, rooks, or ravens"
"cud","a wad of something chewable as tobacco"
"cud","food of a ruminant regurgitated to be chewed again"
"cos","lettuce with long dark-green leaves in a loosely packed elongated head"
"cos","ratio of the adjacent side to the hypotenuse of a right-angled triangle"
"cwm","a steep-walled semicircular basin in a mountain"
"col","a pass between mountain peaks"
"cay","a coral reef off the southern coast of Florida"
"cad","someone who is morally reprehensible"
"cop","uncomplimentary terms for a policeman"
"cop","to take into custody"
"cop","to take by theft"
"CEO","the corporate executive responsible for the operations of the firm"
"cox","the helmsman of a ship's boat or a racing crew"
"cox","to act as the coxswain, in a boat race"
"cgs","system of measurement based on centimeters and grams and seconds"
"cwt","a British unit of weight equivalent to 112 pounds"
"cwt","a United States unit of weight equivalent to 100 pounds"
"cps","the unit of frequency"
"due","directly or exactly"
"due","owed and payable immediately or on demand"
"due","suitable to or expected in the circumstances"
"due","capable of being assigned or credited to"
"due","that which is deserved or owed"
"due","a payment that is due, such as the price of membership"
"due","scheduled to arrive"
"dim","lacking in light"
"dim","made dim or less bright"
"dim","slow to learn or understand"
"dim","lacking clarity or distinctness"
"dim","offering little or no hope"
"dim","become vague or indistinct"
"dim","make dim by comparison or conceal"
"dim","make dim or lusterless"
"dim","become dim or lusterless"
"dim","switch (a car's headlights) from a higher to a lower beam"
"dun","of a dull greyish brown to brownish grey color"
"dun","horse of a dull brownish grey color"
"dun","a color or pigment varying around a light grey-brown color"
"dun","make a dun color"
"dun","cure by salting"
"dun","persistently ask for overdue payment"
"dun","treat cruelly"
"dry","practicing complete abstinence from alcoholic beverages"
"dry","lacking warmth or emotional involvement"
"dry","having a large proportion of strong liquor"
"dry","without a mucous or watery discharge"
"dry","humorously sarcastic or mocking"
"dry","(of food) eaten without a spread or sauce or other garnish"
"dry","having no adornment or coloration"
"dry","unproductive especially of the expected results"
"dry","used of solid substances in contrast with liquid ones"
"dry","lacking interest or stimulation"
"dry","(of liquor) having a low residual sugar content because of decomposition of sugar during fermentation"
"dry","not shedding tears"
"dry","free from liquid or moisture"
"dry","not producing milk"
"dry","opposed to or prohibiting the production and sale of alcoholic beverages"
"dry","lacking moisture or volatile components"
"dry","a reformer who opposes the use of intoxicating beverages"
"dry","remove the moisture from and make dry"
"dry","become dry or drier"
"dud","failing to detonate"
"dud","an event that fails badly or is totally ineffectual"
"dud","an explosion that fails to occur"
"dud","someone who is unsuccessful"
"dab","a light touch or stroke"
"dab","a small quantity of something moist or liquid"
"dab","hit lightly"
"dab","apply a substance, usually a liquid, to a surface"
"dig","the act of touching someone suddenly with your finger or elbow"
"dig","the act of digging"
"dig","a small gouge (as in the cover of a book)"
"dig","an aggressive remark directed at a person like a missile and intended to have a telling effect"
"dig","the site of an archeological exploration"
"dig","get the meaning of something"
"dig","poke or thrust abruptly"
"dig","turn up, loosen, or remove earth"
"dig","remove the inner part or the core of"
"dig","create by digging"
"dig","thrust down or into"
"dig","remove, harvest, or recover by digging"
"dig","work hard at a task"
"dip","immerse briefly into a liquid so as to wet, coat, or saturate"
"dip","to plunge one's hand or a receptacle into a container"
"dip","immerse in a disinfectant solution"
"dip","place (candle wicks) into hot, liquid wax"
"dip","to partially or totally submerge into a liquid"
"dip","slope downwards"
"dip","appear to move downward"
"dip","lower briefly"
"dip","switch (a car's headlights) from a higher to a lower beam"
"dip","take a small amount from"
"dip","a gymnastic exercise on the parallel bars in which the body is lowered and raised by bending and straightening the arms"
"dip","a brief swim in water"
"dip","a candle that is made by repeated dipping in a pool of wax or tallow"
"dip","a sudden sharp decrease in some quantity"
"dip","a brief immersion"
"dip","tasty mixture or liquid into which bite-sized foods are dipped"
"dip","a thief who steals from the pockets or purses of others in public places"
"dip","(physics) the angle that a magnetic needle makes with the plane of the horizon"
"dip","a depression in an otherwise level surface"
"dip","stain an object by immersing it in a liquid"
"dip","go down momentarily"
"dip","dip into a liquid while eating"
"dip","scoop up by plunging one's hand or a ladle below the surface"
"din","the act of making a noisy disturbance"
"din","a loud harsh, strident, or offensive noise"
"din","instill, into a person, by constant repetition"
"din","make a resonant sound, like artillery"
"dam","female parent of an animal especially domestic livestock"
"dam","a barrier constructed to contain the flow of water or to keep out the sea"
"dam","a metric unit of length equal to ten meters"
"dam","obstruct with, or as if with, a dam"
"daw","common black-and-grey Eurasian bird noted for thievery"
"doe","mature female of mammals of which the male is called `buck'"
"dog","a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times"
"dog","metal supports for logs in a fireplace"
"dog","a hinged catch that fits into a notch of a ratchet to move a wheel forward or prevent it from moving backward"
"dog","a smooth-textured sausage of minced beef or pork usually smoked"
"dog","someone who is morally reprehensible"
