word,definition
"A.D.","in the Christian era"
"anon","(old-fashioned or informal) in a little while"
"anon","at another time"
"ASAP","as soon as possible"
"also","in addition"
"alas","by bad luck"
"anew","again but in a new or different way"
"afar","(old-fashioned) at or from or to a great distance"
"ably","with competence"
"away","from a particular thing or place or position (`forth' is obsolete)"
"away","from one's possession"
"away","in reserve"
"away","out of the way (especially away from one's thoughts)"
"away","out of existence"
"away","indicating continuing action"
"away","in a different direction"
"away","in or into a proper place (especially for storage or safekeeping)"
"away","at a distance in space or time"
"away","so as to be removed or gotten rid of"
"away","freely or at will"
"away","(of a baseball pitch) on the far side of home plate from the batter"
"away","used of an opponent's ground"
"away","not present"
"abed","in bed"
"A.M.","before noon"
"amok","in a murderous frenzy"
"amok","wildly"
"amok","frenzied as if possessed by a demon"
"alee","on or toward the lee"
"atop","on, to, or at the top"
"awry","away from the correct or expected course"
"awry","turned or twisted to one side"
"awry","not functioning properly"
"awry","turned or twisted toward one side"
"asea","in the direction of the sea"
"able","(usually followed by `to') having the necessary means or skill or know-how or authority to do something"
"able","having inherent physical or mental ability or capacity"
"able","have the skills and qualifications to do things well"
"able","having a strong healthy body"
"acid","having the characteristics of an acid"
"acid","harsh or corrosive in tone"
"acid","being sour to the taste"
"acid","street name for lysergic acid diethylamide"
"acid","any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt"
"anal","of or related to the anus"
"a.m.","before noon"
"awny","having awns i.e. bristlelike or hairlike appendages on the flowering parts of some cereals and grasses"
"ashy","of a light grey"
"airy","characterized by lightness and insubstantiality"
"airy","having little or no perceptible weight"
"airy","not practical or realizable"
"airy","open to or abounding in fresh air"
"aery","characterized by lightness and insubstantiality"
"aery","any habitation at a high altitude"
"aery","the lofty nest of a bird of prey (such as a hawk or eagle)"
"arid","lacking vitality or spirit"
"arid","lacking sufficient water or rainfall"
"avid","marked by active interest and enthusiasm"
"avid","(often followed by `for') ardently or excessively desirous"
"agog","highly excited"
"arco","(of instruments in the violin family) to be played with the bow"
"aged","(used of tobacco) aging as a preservative process (`aged' is pronounced as one syllable)"
"aged","of wines, fruit, cheeses"
"aged","advanced in years"
"aged","at an advanced stage of erosion"
"aged","people who are old collectively"
"aged","having attained a specific age"
"a-ok","in perfect condition or order"
"alto","(of a musical instrument) second highest member of a group"
"alto","of or being the highest male voice"
"alto","of or being the lowest female voice"
"alto","the pitch range of the lowest female voice"
"alto","(of a musical instrument) the second highest instrument in a family of musical instruments"
"alto","the highest adult male singing voice"
"alto","the lowest female singing voice"
"alto","a singer whose voice lies in the alto clef"
"auld","a Scottish word"
"ajar","slightly open"
"achy","causing a dull and steady pain"
"anti","not in favor of (an action or proposal etc.)"
"anti","a person who is opposed (to an action or policy or practice etc.)"
"awol","absent without permission"
"arty","showily imitative of art or artists"
"akin","related by blood"
"akin","similar in quality or character"
"awed","inspired by a feeling of fearful wonderment or reverence"
"awed","having or showing a feeling of mixed reverence and respect and wonder and dread"
"arch","naughtily or annoyingly playful"
"arch","behavior or attitude characteristic of those who treat others with condescension"
"arch","a curved masonry construction for spanning an opening and supporting the weight above it"
"arch","a passageway under a curved masonry construction"
"arch","a curved bony structure supporting or enclosing organs (especially the inner sides of the feet)"
"arch","a curved shape in the vertical plane that spans an opening"
"arch","to form an arch or curve"
"arch","expert in skulduggery"
"alar","having or resembling wings"
"alar","of or relating to the axil"
"ASAT","of or relating to a system to destroy satellites in orbit"
"agon","a festivity in ancient Greece at which competitors contended for prizes"
"alms","money or goods contributed to the poor"
"alga","primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves"
"agua","largest known toad species"
"anoa","small buffalo of the Celebes having small straight horns"
"apar","South American armadillo with three bands of bony plates"
"adze","an edge tool used to cut and shape wood"
"alum","a double sulphate of aluminum and potassium that is used as an astringent (among other things)"
"alum","a person who has received a degree from a school (high school or college or university)"
"alum","a white crystalline double sulfate of aluminum: the potassium double sulfate of aluminum"
"alum","a white crystalline double sulfate of aluminum: the ammonium double sulfate of aluminum"
"agal","a cord (usually of goat's hair) that Arabs (especially Bedouins) wind around their heads to hold down the kaffiyeh"
"ammo","projectiles to be fired from a gun"
"Adam","street names for methylenedioxymethamphetamine"
"adit","a nearly horizontal passage from the surface into a mine"
"area","a part of a structure having some specific characteristic or function"
"area","the extent of a 2-dimensional surface enclosed within a boundary"
"area","a part of an animal that has a special function or is supplied by a given artery or nerve"
"area","a subject of study"
"area","a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)"
"area","a particular environment or walk of life"
"apse","a domed or vaulted recess or projection on a building especially the east end of a church"
"axis","the center around which something rotates"
"axis","the 2nd cervical vertebra"
"axis","a straight line through a body or figure that satisfies certain conditions"
"axis","a group of countries in special alliance"
"axis","the main stem or central part about which plant organs or plant parts such as branches are arranged"
"axle","a shaft on which a wheel rotates"
"auto","a motor vehicle with four wheels"
"arms","the official symbols of a family, state, etc."
"arms","weapons considered collectively"
"ambo","a platform raised above the surrounding level to give prominence to the person on it"
"aura","a distinctive but intangible quality surrounding a person or thing"
"aura","an indication of radiant light drawn around the head of a saint"
"aura","a sensation (as of a cold breeze or bright light) that precedes the onset of certain disorders such as a migraine attack or epileptic seizure"
"airs","affected manners intended to impress others"
"aqua","a shade of blue tinged with green"
"Afro","a rounded thickly curled hairdo"
"axon","long nerve fiber that conducts away from the cell body of the neuron"
"anus","the excretory opening at the end of the alimentary canal"
"arse","vulgar slang for anus"
"arse","the fleshy part of the human body that you sit on"
"ABCs","the elementary stages of any subject (usually plural)"
"arts","studies intended to provide general knowledge and intellectual skills, rather than occupational or professional skills"
"Agha","title for a civil or military leader (especially in Turkey)"
"ague","a mark (') placed above a vowel to indicate pronunciation"
"ague","a fit of shivering or shaking"
"ague","successive stages of chills and fever that is a symptom of malaria"
"ayin","the 16th letter of the Hebrew alphabet"
"Abor","little known Kamarupan languages"
"aria","an elaborate song for solo voice"
"ahem","the utterance of a sound similar to clearing the throat"
"akee","red pear-shaped tropical fruit with poisonous seeds"
"akee","widely cultivated in tropical and subtropical regions for its fragrant flowers and colorful fruits"
"arak","any of various strong liquors distilled from the fermented sap of toddy palms or from fermented molasses"
"army","a large number of people united for some specific purpose"
"army","a permanent organization of the military land forces of a nation or state"
"ally","a friendly nation"
"ally","an associate who provides cooperation or assistance"
"ally","to become an ally or associate, as by a treaty or marriage"
"apex","the point on the celestial sphere toward which the sun and solar system appear to be moving relative to the fixed stars"
"apex","the highest point (of something)"
"acme","the highest point (of something)"
"acme","the highest level or degree attainable"
"aeon","(Gnosticism) a divine power or nature emanating from the Supreme Being and playing various roles in the operation of the universe"
"aeon","an immeasurably long period of time"
"aeon","the longest division of geological time"
"abbe","a French abbot"
"aide","an officer who acts as military assistant to a more senior officer"
"aide","someone who acts as assistant"
"AWOL","one who is away or absent without leave"
"alky","a person who drinks alcohol to excess habitually"
"aunt","the sister of your father or mother"
"ayah","(in India) a native nursemaid who looks after children"
"aper","someone who copies the words or behavior of another"
"amir","an independent ruler or chieftain (especially in Africa or Arabia)"
"amah","a female domestic"
"amah","a woman hired to suckle a child of someone else"
"arum","any plant of the family Araceae"
"arum","starch resembling sago that is obtained from cuckoopint root"
"aloe","succulent plants having rosettes of leaves usually with fiber like hemp and spikes of showy flowers"
"anil","shrub of West Indies and South America that is a source of indigo dye"
"anil","a blue dye obtained from plants or made synthetically"
"axil","the upper angle between an axis and an offshoot such as a branch or leafstalk"
"aril","fleshy and usually brightly colored cover of some seeds that develops from the ovule stalk and partially or entirely envelopes the seed"
"agio","a fee charged for exchanging currencies"
"ante","(poker) the initial contribution that each player makes to the pot"
"ante","to place one's stake"
"acre","a unit of area (4840 square yards) used in English-speaking countries"
"anna","a former copper coin of Pakistan and India"
"ADHD","a condition (mostly in boys) characterized by behavioral and learning disorders"
"acne","an inflammatory disease involving the sebaceous glands of the skin"
"ache","a dull, persistent, moderately intense pain"
"ache","to have a desire for something or someone who is not present"
"ache","to feel physical pain"
"ache","to be the source of pain"
"atom","(nontechnical usage) a tiny piece of anything"
"atom","the smallest component of an element having the chemical properties of the element"
"acyl","any group or radical of the form RCO- where R is an organic group"
"amyl","a hydrocarbon radical that occurs in many organic compounds"
"atar","essential oil or perfume obtained from flowers"
"agar","a colloidal extract of algae"
"agar","any culture medium that uses agar as the gelling agent"
"Adar","the sixth month of the civil year"
"avow","to declare or affirm solemnly and formally as true"
"aver","to declare or affirm solemnly and formally as true"
"abut","to lie adjacent to another or share a boundary"
"airt","to channel into a new direction"
"abet","to assist or encourage, usually in some wrongdoing"
"abye","to make amends for"
"agin","against"
"agin","Opposed to"
"agin","Beside; near"
"B.C.","before the Christian era"
"back","in or to or toward a past time"
"back","at or to or toward the back or rear"
"back","in repayment or retaliation"
"back","in or to or toward a former location"
"back","in or to or toward an original condition"
"back","in reply to"
"back","(American football) the position of a player on a football team who is stationed behind the line of scrimmage"
"back","a support that you can lean against while sitting"
"back","the part of a garment that covers the back of your body"
"back","the protective covering on the front, back, and spine of a book"
"back","the side that goes last or is not normally seen"
"back","the posterior part of a body from the neck to the end of the spine"
"back","the series of vertebrae forming the axis of the skeleton and protecting the spinal cord"
"back","the part of something that is furthest from the normal viewer"
"back","in association football, a person who plays in the backfield, also known as a defender"
"back","to strengthen by providing with a back or backing"
"back","to establish as valid or genuine"
"back","to shift to a counterclockwise direction"
"back","to place a bet on"
"back","to travel backward"
"back","to cause to travel backward"
"back","to support financial backing for"
"back","to be behind"
"back","to give support or one's approval to"
"back","to be in back of"
"back","located at or near the back of an animal"
"back","related to or located at the back"
"back","of an earlier date"
"best","it would be sensible"
"best","in a most excellent way or manner"
"best","from a position of superiority or authority"
"best","(superlative of `good') having the most positive qualities"
"best","the supreme effort one can make"
"best","the person who is most outstanding or excellent"
"best","to get the better of"
"best","(comparative and superlative of `well') wiser or more advantageous and hence advisable"
"bolt","in a rigid manner"
"bolt","directly"
"bolt","a sudden abandonment, as from a political party"
"bolt","the act of moving with great haste"
"bolt","a screw that screws into a nut to form a fastener"
"bolt","the part of a lock that is engaged or withdrawn with a key"
"bolt","a sliding bar in a breech-loading firearm that ejects an empty cartridge and replaces it and closes the breech"
"bolt","a roll of cloth or wallpaper of a definite length"
"bolt","a discharge of lightning accompanied by thunder"
"bolt","to make or roll into bolts"
"bolt","to eat hastily without proper chewing"
"bolt","to swallow hastily"
"bolt","to secure or lock with a bolt"
"bolt","to move or jump suddenly"
"bolt","to leave suddenly and as if in a hurry"
"bolt","to run away"
"bang","directly on target"
"bang","a conspicuous success"
"bang","a border of hair that is cut short and hangs across the forehead"
"bang","a sudden very loud noise"
"bang","a vigorous blow"
"bang","the swift release of a store of affective force"
"bang","to strike violently"
"bang","to close violently"
"bang","to move noisily"
"bang","to produce a sharp often metallic explosive or percussive sound"
"busy","crowded with or characterized by much activity"
"busy","actively or fully engaged or occupied"
"busy","intrusive in a meddling or offensive manner"
"busy","(of facilities such as telephones or lavatories) unavailable for use by anyone else or indicating unavailability"
"busy","overcrowded or cluttered with detail"
"busy","to keep busy with"
"bare","lacking embellishment or ornamentation"
"bare","completely unclothed"
"bare","having everything extraneous removed including contents"
"bare","providing no shelter or sustenance"
"bare","lacking its natural or customary covering"
"bare","lacking a surface finish such as paint"
"bare","not having a protective covering"
"bare","to make public"
"bare","to lay bare"
"bare","lacking in amplitude or quantity"
"bare","apart from anything else"
"bare","just barely adequate or within a lower limit"
"bald","lacking hair on all or most of the scalp"
"bald","without the natural or usual covering"
"bald","with no effort to conceal"
"bald","to grow bald"
"bold","fearless and daring"
"bold","clear and distinct"
"bold","very steep"
"bold","a typeface with thick heavy lines"
"bony","having bones especially many or prominent bones"
"bony","very thin especially from disease or hunger or cold"
"bony","composed of or containing bone"
"bone","consisting of or made up of bone"
"bone","a shade of white the color of bleached bones"
"bone","rigid connective tissue that makes up the skeleton of vertebrates"
"bone","the porous calcified substance from which bones are made"
"bone","to remove the bones from"
"blae","of bluish-black or grey-blue"
"blue","causing dejection"
"blue","of the color intermediate between green and violet"
"blue","characterized by profanity or cursing"
"blue","filled with melancholy and despondency"
"blue","belonging to or characteristic of the nobility or aristocracy"
"blue","used to signify the Union forces in the American Civil War (who wore blue uniforms)"
"blue","any of numerous small butterflies of the family Lycaenidae"
"blue","the sodium salt of amobarbital that is used as a barbiturate"
"blue","blue clothing"
"blue","blue color or pigment"
"blue","any organization or party whose uniforms or badges are blue"
"blue","the sky as viewed during daylight"
"blue","used to whiten laundry or hair or give it a bluish tinge"
"blue","to turn blue"
"blue","morally rigorous and strict"
"buff","of the yellowish-beige color of buff leather"
"buff","an implement consisting of soft material mounted on a block"
"buff","a medium to dark tan color"
"buff","bare skin"
"buff","an ardent follower and admirer"
"buff","a soft thick undyed leather from the skins of e.g. buffalo or oxen"
"buff","to polish and make shiny"
"buff","to strike or beat repeatedly"
"braw","brightly colored and showy"
"boon","very close and convivial"
"boon","a desirable state"
"boxy","resembling a box in rectangularity"
"bent","of metal e.g."
"bent","used of the back and knees"
"bent","fixed in your purpose"
"bent","a special way of doing something"
"bent","a relatively permanent inclination to react in a particular way"
"bent","an area of grassland unbounded by fences or hedges"
"bent","grass for pastures and lawns especially bowling and putting greens"
"beta","preliminary or testing stage of a software or hardware product"
"beta","second in order of importance"
"beta","the 2nd letter of the Greek alphabet"
"base","debased"
"base","illegitimate"
"base","having or showing an ignoble lack of honor or morality"
"base","of low birth or station (`base' is archaic in this sense)"
"base","serving as or forming a base"
"base","not adhering to ethical or moral principles"
"base","(used of metals) consisting of or alloyed with inferior metal"
"base","a support or foundation"
"base","a place that the runner must touch before scoring"
"base","(electronics) the part of a transistor that separates the emitter from the collector"
"base","installation from which a military force initiates operations"
"base","a flat bottom on which something is intended to sit"
"base","the principal ingredient of a mixture"
"base","lowest support of a structure"
"base","the stock of basic facilities and capital equipment needed for the functioning of a country or area"
"base","the fundamental assumptions from which something is begun or developed or calculated or explained"
"base","(linguistics) the form of a word after all affixes are removed"
"base","a lower limit"
"base","the place where you are stationed and from which missions start and end"
"base","(anatomy) the part of an organ nearest its point of attachment"
"base","the bottom or lowest part"
"base","(numeration system) the positive integer that is equivalent to one in the next higher counting place"
"base","the most important or necessary part of something"
"base","the bottom side of a geometric figure from which the altitude can be constructed"
"base","any of various water-soluble compounds capable of turning litmus blue and reacting with an acid to form a salt and water"
"base","a phosphoric ester of a nucleoside"
"base","to use as a basis for"
"base","to use purified cocaine by burning it and inhaling the fumes"
"base","to situate as a center of operations"
"bass","having or denoting a low vocal or instrumental range"
"bass","nontechnical name for any of numerous edible marine and freshwater spiny-finned fishes"
"bass","the member with the lowest range of a family of musical instruments"
"bass","the lowest part of the musical range"
"bass","the lowest adult male singing voice"
"bass","the lowest part in polyphonic music"
"bass","any of various North American freshwater fish with lean flesh (especially of the genus Micropterus)"
"bass","the lean flesh of a saltwater fish of the family Serranidae"
"bass","an adult male singer with the lowest voice"
"bias","slanting diagonally across the grain of a fabric"
"bias","a partiality that prevents objective consideration of an issue or situation"
"bias","a line or cut across a fabric that is not at right angles to a side of the fabric"
"bias","to influence in an unfair way"
"born","being talented through inherited qualities"
"born","brought into existence"
"bust","lacking funds"
"bust","an occasion for excessive eating or drinking"
"bust","a sculpture of the head and shoulders of a person"
"bust","the chest of a woman"
"bust","a complete failure"
"bust","to break open or apart suddenly and forcefully"
"bust","to go to pieces"
"bust","to ruin completely"
"bust","to search without warning, make a sudden surprise attack on"
"bats","informal or slang terms for mentally irregular"
"both","(used with count nouns) two considered together"
"boss","exceptionally good"
"boss","a circular rounded projection or protuberance"
"boss","a person responsible for hiring workers"
"boss","a person who exercises control and makes decisions"
"boss","a person who exercises control over workers"
"boss","a leader in a political party who controls votes and dictates appointments"
"brag","exceptionally good"
"brag","an instance of boastful talk"
"brag","to show off"
"brut","of champagne, extremely dry"
"bush","not of the highest quality or sophistication"
"bush","hair growing in the pubic area"
"bush","dense vegetation consisting of stunted trees or bushes"
"bush","a large wilderness area"
"bush","a low woody perennial plant usually having several major stems"
"bush","to provide with a bushing"
"blot","an act that brings discredit to the person who does it"
"blot","a blemish made by dirt"
"blot","to make a spot or mark onto"
"blot","to dry with blotting paper"
"bull","a serious and ludicrous blunder"
"bull","mature male of various mammals of which the female is called `cow'"
"bull","uncastrated adult male of domestic cattle"
"bull","obscene words for unacceptable behavior"
"bull","a formal proclamation issued by the pope, usually written in antiquated characters and sealed with a leaden bulla"
"bull","the center of a target"
"bull","a large,strong and heavyset person"
"bull","an investor with an optimistic market outlook"
"bull","uncomplimentary terms for a policeman"
"bull","to advance in price"
"bull","to speak insincerely or without regard for facts or truths"
"bull","to try to raise the price of stocks through speculative buying"
"bull","to push or force"
"bowl","the act of rolling something (as the ball in bowling)"
"bowl","a dish that is round and open at the top for serving foods"
"bowl","a round vessel that is open at the top"
"bowl","a small round container that is open at the top for holding tobacco"
"bowl","a wooden ball (with flattened sides so that it rolls on a curved course) used in the game of lawn bowling"
"bowl","a large ball with finger holes used in the sport of bowling"
"bowl","a large structure for open-air sports or entertainments"
"bowl","the quantity contained in a bowl"
"bowl","a concave shape with an open top"
"bowl","to engage in the sport of bowling"
"bowl","to hurl a cricket ball from one end of the pitch towards the batsman at the other end"
"bowl","to roll a ball"
"balk","an illegal pitching motion while runners are on base"
"balk","one of several parallel sloping beams that support a roof"
"balk","something immaterial that interferes with or delays action or progress"
"balk","the area on a billiard table behind the balkline"
"balk","to refuse to comply"
"ball","a pitch that is not in the strike zone"
"ball","the game of baseball"
"ball","round object that is hit or thrown or kicked in games"
"ball","a spherical object used as a plaything"
"ball","a solid projectile that is shot by a musket"
"ball","one of the two male reproductive glands that produce spermatozoa and secrete androgens"
"ball","a more or less rounded anatomical body or mass"
"ball","a lavish dance requiring formal attire"
"ball","a compact mass"
"ball","the people assembled at a lavish formal dance"
"ball","an object with a spherical shape"
"ball","to form into a ball by winding or rolling"
"burp","a reflex that expels gas noisily from the stomach through the mouth"
"burp","to expel gas from the stomach"
"bunt","to strike, thrust or shove against"
"bunt","to hit a ball in such a way so as to make it go a short distance, typically in baseball"
"bunt","(baseball) the act of hitting a baseball lightly without swinging the bat"
"bunt","fungus that destroys kernels of wheat by replacing them with greasy masses of smelly spores"
"bunt","similar to Tilletia caries"
"bunt","disease of wheat characterized by replacement of the grains with greasy masses of smelly smut spores"
"belt","the act of hitting vigorously"
"belt","a band to tie or buckle around the body usually at the waist"
"belt","endless loop of flexible material between two rotating shafts or pulleys"
"belt","ammunition (usually of small caliber) loaded in flexible linked strips for use in a machine gun"
"belt","a vigorous blow"
"belt","an elongated region where a specific condition or characteristic is found"
"belt","a path or strip (as cut by one course of mowing)"
"belt","to fasten with a belt"
"belt","to deliver a blow to"
"belt","to sing loudly and forcefully"
"boot","the act of delivering a blow with the foot"
"boot","a form of foot torture in which the feet are encased in iron and slowly crushed"
"boot","footwear that covers the whole foot and lower leg"
"boot","British term for the luggage compartment in a car"
"boot","an instrument of torture that is used to heat or crush the foot and leg"
"boot","protective casing for something that resembles a leg"
"boot","the swift release of a store of affective force"
"boot","to cause to load an operating system and start the initial processes"
"boot","to kick something"
"buss","the act of caressing with the lips (or an instance thereof)"
"buss","to touch with the lips or press the lips against someone's mouth or other body part as an expression of love, greeting, etc"
"biff","(boxing) a blow with the fist"
"biff","to strike, usually with the fist"
"bank","a flight maneuver"
"bank","a building in which the business of banking transacted"
"bank","a container, usually with a slot in the top, for keeping money at home"
"bank","a financial institution that accepts deposits and channels the money into lending activities"
"bank","an arrangement of similar objects in a row or in tiers"
"bank","a long ridge or pile"
"bank","sloping land (especially the slope beside a body of water)"
"bank","a slope in the turn of a road or track"
"bank","the funds held by a gambling house or the dealer in some gambling games"
"bank","a supply or stock held in reserve for future use (especially in emergencies)"
"bank","to have confidence or faith in"
"bank","to cover with ashes so to control the rate of burning"
"bank","to enclose with a bank"
"bank","to tip laterally"
"bank","to put into a bank account"
"bank","to be in the banking business"
"bank","to act as the banker in a game or in gambling"
"bank","to do business with a bank or keep an account at a bank"
"bath","the process of soaking and washing one's body in a bathtub"
"bath","a vessel containing liquid into which something is immersed, as to process it, to maintain it at a constant temperature, or to lubricate it"
"bath","a room containing a bathtub or shower and usually a washbasin and toilet"
"bath","a relatively large open container that you fill with water and use to wash the body"
"bath","an ancient Hebrew liquid measure equal to about 10 gallons"
"bath","to clean one's body by immersion into water"
"beat","very tired"
"beat","the act of beating to windward"
"beat","a stroke or blow"
"beat","a regular rate of repetition"
"beat","the basic rhythmic unit in a piece of music"
"beat","(prosody) the accent in a metrical foot of verse"
"beat","the sound of stroke or blow"
"beat","the rhythmic contraction and expansion of the arteries with each heart cycle"
"beat","a regular route for a sentry or policeman"
"beat","a member of the beat generation"
"beat","a single pulsation of an oscillation produced by adding two waves of different frequencies"
"beat","to wear out completely"
"beat","to be a mystery or bewildering to"
"beat","to come out better in a competition, race, or conflict"
"beat","to beat through cleverness and wit"
"beat","to give a beating to"
"beat","to hit repeatedly"
"beat","to strike a part of one's own body repeatedly, as in great emotion or in accompaniment to music"
"beat","to stir vigorously"
"beat","to shape by beating"
"beat","to make by pounding or trampling"
"beat","to move with or as if with a regular alternating motion"
"beat","to move rhythmically"
"beat","to sail with much tacking or with difficulty"
"beat","to glare or strike with great intensity"
"beat","to make a rhythmic sound"
"beat","to avoid paying"
"beat","to be superior"
"bite","a light informal meal"
"bite","a small amount of solid food"
"bite","a wound resulting from biting by an animal or a person"
"bite","a painful wound caused by the thrust of an insect's stinger into skin"
"bite","to penetrate or cut, as with a knife"
"bite","to deliver a sting to"
"bite","to grip, cut off, or tear with or as if with the teeth or jaws"
"bite","to cause a sharp or stinging pain or discomfort"
"bite","a portion removed from the whole"
"bite","the act of gripping or chewing off with the teeth and jaws"
"bite","a strong odor or taste property"
"bite","wit having a sharp and caustic quality"
"bite","in angling, an instance of a fish taking the bait"
"burn","an injury caused by exposure to heat, chemicals, or radiation"
"burn","pain that feels hot as if it were on fire"
"burn","to get a sunburn by overexposure to the sun"
"burn","to burn with heat, fire, or radiation"
"burn","to burn, sear, or freeze tissue using a hot iron or electric current or a caustic agent"
"burn","to undergo combustion"
"burn","to destroy by fire"
"burn","to use up energy"
"burn","to create by duplicating data"
"burn","to feel strong emotion, especially anger or passion"
"burn","to cause a sharp or stinging pain or discomfort"
"burn","to feel hot or painful"
"burn","to spend significant amounts of money"
"burn","to destroy by fire at the stake"
"burn","shine intensely, as if with heat"
"bout","an occasion for excessive eating or drinking"
"bout","a contest or fight (especially between boxers or wrestlers)"
"bout","a period of illness"
"bout","(sports) a division during which one team is on the offensive"
"bill","the entertainment offered at a public presentation"
"bill","horny projecting mouth of a bird"
"bill","a brim that projects to the front to shade the eyes"
"bill","a long-handled saw with a curved blade"
"bill","a list of particulars (as a playbill or bill of fare)"
"bill","an itemized statement of money owed for goods shipped or services rendered"
"bill","a statute in draft before it becomes law"
"bill","a sign posted in a public place as an advertisement"
"bill","an advertisement (usually printed on a page or in a leaflet) intended for wide distribution"
"bill","a piece of paper money (especially one issued by a central bank)"
"bill","to advertise especially by posters or placards"
"bill","to publicize or announce by placards"
"bill","to demand payment"
"baby","a project of personal concern to someone"
"baby","a very young mammal"
"baby","(slang) sometimes used as a term of address for attractive young women"
"baby","the youngest member of a group (not necessarily young)"
"baby","a very young child (birth to 1 year) who has not yet begun to walk or talk"
"baby","an unborn child"
"baby","an immature childish person"
"baby","to treat with excessive indulgence"
"blow","forceful exhalation through the nose or mouth"
"blow","a powerful stroke with the fist or a weapon"
"blow","street names for cocaine"
"blow","an unpleasant or disappointing surprise"
"blow","an impact, as from a collision"
"blow","an unfortunate happening that hinders or impedes"
"blow","a strong current of air"
"blow","to exhale hard"
"blow","to free of obstruction by blowing air through"
"blow","to melt, break, or become otherwise unusable"
"blow","to shape by blowing"
"blow","to cause to be revealed and jeopardized"
"blow","to lay eggs"
"blow","to leave a place"
"blow","to be in motion due to some air or water current"
"blow","to spout moist air from the blowhole"
"blow","to cause to move by means of an air current"
"blow","to play or sound a wind instrument"
"blow","to make a sound as if blown"
"blow","to spend lavishly or wastefully on"
"blow","to spend thoughtlessly"
"blow","to make a mess of, destroy or ruin"
"blow","to have high winds or storming"
"buzz","a confusion of activity and gossip"
