word,definition
"pneumonoultramicroscopicsilicovolcanoconiosis","a word created to be the longest word in the English language"
"pneumonoultramicroscopicsilicovolcanoconiosis","a lung disease caused by inhaling particles of fine ash and sand dust; silicosis"
